"codepci","clust","cat"
200043172,5,"Jeunes adultes, étudiants et cadres"
200043263,3,"Ouvriers et jeunes enfants"
200043321,2,"Profil diversifié, plutôt âgé"
200043354,4,"Employés et ouvriers"
200043396,3,"Ouvriers et jeunes enfants"
200043404,3,"Ouvriers et jeunes enfants"
200043438,2,"Profil diversifié, plutôt âgé"
200043495,3,"Ouvriers et jeunes enfants"
200043602,1,"Retraités"
200043628,6,"Trentenaires, cadres et professions intermédiaires"
200043693,3,"Ouvriers et jeunes enfants"
200043776,1,"Retraités"
200043974,4,"Employés et ouvriers"
200043982,2,"Profil diversifié, plutôt âgé"
200043990,4,"Employés et ouvriers"
200044014,3,"Ouvriers et jeunes enfants"
200044030,3,"Ouvriers et jeunes enfants"
200044048,3,"Ouvriers et jeunes enfants"
200044253,3,"Ouvriers et jeunes enfants"
200044394,3,"Ouvriers et jeunes enfants"
200044469,2,"Profil diversifié, plutôt âgé"
200044618,5,"Jeunes adultes, étudiants et cadres"
200044691,3,"Ouvriers et jeunes enfants"
200046977,5,"Jeunes adultes, étudiants et cadres"
200048551,4,"Employés et ouvriers"
200049187,4,"Employés et ouvriers"
200049211,1,"Retraités"
200049484,3,"Ouvriers et jeunes enfants"
200050532," ","DOMMAGE"
200054781,5,"Jeunes adultes, étudiants et cadres"
200054807,5,"Jeunes adultes, étudiants et cadres"
200055481,4,"Employés et ouvriers"
200055655,6,"Trentenaires, cadres et professions intermédiaires"
200055887,3,"Ouvriers et jeunes enfants"
200056232,6,"Trentenaires, cadres et professions intermédiaires"
200056380,6,"Trentenaires, cadres et professions intermédiaires"
200057859,6,"Trentenaires, cadres et professions intermédiaires"
200057958,6,"Trentenaires, cadres et professions intermédiaires"
200058360,2,"Profil diversifié, plutôt âgé"
200058477,6,"Trentenaires, cadres et professions intermédiaires"
200058485,6,"Trentenaires, cadres et professions intermédiaires"
200058519,6,"Trentenaires, cadres et professions intermédiaires"
200058782,6,"Trentenaires, cadres et professions intermédiaires"
200059228,6,"Trentenaires, cadres et professions intermédiaires"
200059392,2,"Profil diversifié, plutôt âgé"
200059400,2,"Profil diversifié, plutôt âgé"
200059871," ","DOMMAGE"
200059889,6,"Trentenaires, cadres et professions intermédiaires"
200060010,4,"Employés et ouvriers"
200060457," ","DOMMAGE"
200060465," ","DOMMAGE"
200060473," ","DOMMAGE"
200065563,2,"Profil diversifié, plutôt âgé"
200065589,4,"Employés et ouvriers"
200065597,5,"Jeunes adultes, étudiants et cadres"
200065647,5,"Jeunes adultes, étudiants et cadres"
200065787,5,"Jeunes adultes, étudiants et cadres"
200065886,4,"Employés et ouvriers"
200065894,3,"Ouvriers et jeunes enfants"
200065928,1,"Retraités"
200066009,5,"Jeunes adultes, étudiants et cadres"
200066017,3,"Ouvriers et jeunes enfants"
200066025,4,"Employés et ouvriers"
200066033,4,"Employés et ouvriers"
200066041,4,"Employés et ouvriers"
200066058,6,"Trentenaires, cadres et professions intermédiaires"
200066108,4,"Employés et ouvriers"
200066116,3,"Ouvriers et jeunes enfants"
200066124,2,"Profil diversifié, plutôt âgé"
200066132,3,"Ouvriers et jeunes enfants"
200066140,2,"Profil diversifié, plutôt âgé"
200066157,3,"Ouvriers et jeunes enfants"
200066165,3,"Ouvriers et jeunes enfants"
200066173,2,"Profil diversifié, plutôt âgé"
200066223,2,"Profil diversifié, plutôt âgé"
200066231,3,"Ouvriers et jeunes enfants"
200066280,4,"Employés et ouvriers"
200066322,3,"Ouvriers et jeunes enfants"
200066330,4,"Employés et ouvriers"
200066348,1,"Retraités"
200066355,1,"Retraités"
200066363,1,"Retraités"
200066371,1,"Retraités"
200066389,4,"Employés et ouvriers"
200066405,4,"Employés et ouvriers"
200066413,3,"Ouvriers et jeunes enfants"
200066462,3,"Ouvriers et jeunes enfants"
200066512,2,"Profil diversifié, plutôt âgé"
200066520,4,"Employés et ouvriers"
200066553,1,"Retraités"
200066561,2,"Profil diversifié, plutôt âgé"
200066587,2,"Profil diversifié, plutôt âgé"
200066603,3,"Ouvriers et jeunes enfants"
200066637,1,"Retraités"
200066645,1,"Retraités"
200066652,2,"Profil diversifié, plutôt âgé"
200066660,2,"Profil diversifié, plutôt âgé"
200066678,1,"Retraités"
200066710,2,"Profil diversifié, plutôt âgé"
200066728,6,"Trentenaires, cadres et professions intermédiaires"
200066744,1,"Retraités"
200066751,1,"Retraités"
200066769,2,"Profil diversifié, plutôt âgé"
200066777,1,"Retraités"
200066785,5,"Jeunes adultes, étudiants et cadres"
200066793,5,"Jeunes adultes, étudiants et cadres"
200066801,3,"Ouvriers et jeunes enfants"
200066819,2,"Profil diversifié, plutôt âgé"
200066827,2,"Profil diversifié, plutôt âgé"
200066835,2,"Profil diversifié, plutôt âgé"
200066850,4,"Employés et ouvriers"
200066868,4,"Employés et ouvriers"
200066876,4,"Employés et ouvriers"
200066884,3,"Ouvriers et jeunes enfants"
200066892,3,"Ouvriers et jeunes enfants"
200066918,1,"Retraités"
200066926,5,"Jeunes adultes, étudiants et cadres"
200066975,6,"Trentenaires, cadres et professions intermédiaires"
200067023,2,"Profil diversifié, plutôt âgé"
200067031,1,"Retraités"
200067049,1,"Retraités"
200067064,3,"Ouvriers et jeunes enfants"
200067072,4,"Employés et ouvriers"
200067080,4,"Employés et ouvriers"
200067106,2,"Profil diversifié, plutôt âgé"
200067114,5,"Jeunes adultes, étudiants et cadres"
200067122,4,"Employés et ouvriers"
200067130,1,"Retraités"
200067155,4,"Employés et ouvriers"
200067163,1,"Retraités"
200067171,1,"Retraités"
200067189,1,"Retraités"
200067197,1,"Retraités"
200067205,5,"Jeunes adultes, étudiants et cadres"
200067213,5,"Jeunes adultes, étudiants et cadres"
200067221,3,"Ouvriers et jeunes enfants"
200067239,6,"Trentenaires, cadres et professions intermédiaires"
200067247,4,"Employés et ouvriers"
200067254,5,"Jeunes adultes, étudiants et cadres"
200067262,2,"Profil diversifié, plutôt âgé"
200067288,1,"Retraités"
200067296,6,"Trentenaires, cadres et professions intermédiaires"
200067304,3,"Ouvriers et jeunes enfants"
200067320,4,"Employés et ouvriers"
200067346,2,"Profil diversifié, plutôt âgé"
200067361,3,"Ouvriers et jeunes enfants"
200067379,4,"Employés et ouvriers"
200067429,1,"Retraités"
200067437,2,"Profil diversifié, plutôt âgé"
200067445,2,"Profil diversifié, plutôt âgé"
200067452,1,"Retraités"
200067460,3,"Ouvriers et jeunes enfants"
200067478,2,"Profil diversifié, plutôt âgé"
200067486,6,"Trentenaires, cadres et professions intermédiaires"
200067502,4,"Employés et ouvriers"
200067510,1,"Retraités"
200067544,1,"Retraités"
200067551,6,"Trentenaires, cadres et professions intermédiaires"
200067593,1,"Retraités"
200067627,6,"Trentenaires, cadres et professions intermédiaires"
200067635,6,"Trentenaires, cadres et professions intermédiaires"
200067643,4,"Employés et ouvriers"
200067650,6,"Trentenaires, cadres et professions intermédiaires"
200067668,1,"Retraités"
200067676,4,"Employés et ouvriers"
200067684,4,"Employés et ouvriers"
200067692,1,"Retraités"
200067700,4,"Employés et ouvriers"
200067742,2,"Profil diversifié, plutôt âgé"
200067759,5,"Jeunes adultes, étudiants et cadres"
200067767,1,"Retraités"
200067783,2,"Profil diversifié, plutôt âgé"
200067791,6,"Trentenaires, cadres et professions intermédiaires"
200067817,2,"Profil diversifié, plutôt âgé"
200067825,2,"Profil diversifié, plutôt âgé"
200067841,2,"Profil diversifié, plutôt âgé"
200067866,4,"Employés et ouvriers"
200067874,4,"Employés et ouvriers"
200067882,1,"Retraités"
200067890,1,"Retraités"
200067908,4,"Employés et ouvriers"
200067916,1,"Retraités"
200067924,4,"Employés et ouvriers"
200067932,5,"Jeunes adultes, étudiants et cadres"
200067940,1,"Retraités"
200067957,6,"Trentenaires, cadres et professions intermédiaires"
200067965,5,"Jeunes adultes, étudiants et cadres"
200067973,6,"Trentenaires, cadres et professions intermédiaires"
200067981,3,"Ouvriers et jeunes enfants"
200067999,5,"Jeunes adultes, étudiants et cadres"
200068005,4,"Employés et ouvriers"
200068047,4,"Employés et ouvriers"
200068070,4,"Employés et ouvriers"
200068088,2,"Profil diversifié, plutôt âgé"
200068096,1,"Retraités"
200068104,2,"Profil diversifié, plutôt âgé"
200068112,6,"Trentenaires, cadres et professions intermédiaires"
200068120,5,"Jeunes adultes, étudiants et cadres"
200068146,4,"Employés et ouvriers"
200068229,1,"Retraités"
200068278,1,"Retraités"
200068294,4,"Employés et ouvriers"
200068369,3,"Ouvriers et jeunes enfants"
200068377,2,"Profil diversifié, plutôt âgé"
200068435,1,"Retraités"
200068443,1,"Retraités"
200068450,3,"Ouvriers et jeunes enfants"
200068468,1,"Retraités"
200068484,1,"Retraités"
200068500,3,"Ouvriers et jeunes enfants"
200068534,2,"Profil diversifié, plutôt âgé"
200068542,6,"Trentenaires, cadres et professions intermédiaires"
200068559,4,"Employés et ouvriers"
200068567,6,"Trentenaires, cadres et professions intermédiaires"
200068625,1,"Retraités"
200068641,6,"Trentenaires, cadres et professions intermédiaires"
200068658,4,"Employés et ouvriers"
200068666,4,"Employés et ouvriers"
200068674,5,"Jeunes adultes, étudiants et cadres"
200068682,3,"Ouvriers et jeunes enfants"
200068757,5,"Jeunes adultes, étudiants et cadres"
200068765,2,"Profil diversifié, plutôt âgé"
200068773,3,"Ouvriers et jeunes enfants"
200068781,5,"Jeunes adultes, étudiants et cadres"
200068799,3,"Ouvriers et jeunes enfants"
200068807,6,"Trentenaires, cadres et professions intermédiaires"
200068815,2,"Profil diversifié, plutôt âgé"
200068831,2,"Profil diversifié, plutôt âgé"
200068856,1,"Retraités"
200068864,6,"Trentenaires, cadres et professions intermédiaires"
200068872,3,"Ouvriers et jeunes enfants"
200068880,3,"Ouvriers et jeunes enfants"
200068914,4,"Employés et ouvriers"
200068922,2,"Profil diversifié, plutôt âgé"
200068930,2,"Profil diversifié, plutôt âgé"
200068948,2,"Profil diversifié, plutôt âgé"
200068955,4,"Employés et ouvriers"
200068963,4,"Employés et ouvriers"
200068989,2,"Profil diversifié, plutôt âgé"
200068997,2,"Profil diversifié, plutôt âgé"
200069003,3,"Ouvriers et jeunes enfants"
200069029,1,"Retraités"
200069037,3,"Ouvriers et jeunes enfants"
200069052,5,"Jeunes adultes, étudiants et cadres"
200069060,2,"Profil diversifié, plutôt âgé"
200069086,4,"Employés et ouvriers"
200069094,1,"Retraités"
200069102,1,"Retraités"
200069110,5,"Jeunes adultes, étudiants et cadres"
200069128,1,"Retraités"
200069136,1,"Retraités"
200069144,4,"Employés et ouvriers"
200069151,1,"Retraités"
200069169,2,"Profil diversifié, plutôt âgé"
200069177,6,"Trentenaires, cadres et professions intermédiaires"
200069185,1,"Retraités"
200069193,6,"Trentenaires, cadres et professions intermédiaires"
200069227,4,"Employés et ouvriers"
200069235,4,"Employés et ouvriers"
200069250,5,"Jeunes adultes, étudiants et cadres"
200069268,3,"Ouvriers et jeunes enfants"
200069300,5,"Jeunes adultes, étudiants et cadres"
200069383,3,"Ouvriers et jeunes enfants"
200069391,4,"Employés et ouvriers"
200069409,5,"Jeunes adultes, étudiants et cadres"
200069417,2,"Profil diversifié, plutôt âgé"
200069425,2,"Profil diversifié, plutôt âgé"
200069433,3,"Ouvriers et jeunes enfants"
200069441,4,"Employés et ouvriers"
200069458,1,"Retraités"
200069482,3,"Ouvriers et jeunes enfants"
200069516,2,"Profil diversifié, plutôt âgé"
200069524,4,"Employés et ouvriers"
200069532,4,"Employés et ouvriers"
200069540,6,"Trentenaires, cadres et professions intermédiaires"
200069565,4,"Employés et ouvriers"
200069581,2,"Profil diversifié, plutôt âgé"
200069599,3,"Ouvriers et jeunes enfants"
200069615,4,"Employés et ouvriers"
200069623,3,"Ouvriers et jeunes enfants"
200069631,3,"Ouvriers et jeunes enfants"
200069649,3,"Ouvriers et jeunes enfants"
200069656,4,"Employés et ouvriers"
200069664,4,"Employés et ouvriers"
200069672,3,"Ouvriers et jeunes enfants"
200069698,4,"Employés et ouvriers"
200069722,3,"Ouvriers et jeunes enfants"
200069730,3,"Ouvriers et jeunes enfants"
200069748,4,"Employés et ouvriers"
200069755,3,"Ouvriers et jeunes enfants"
200069763,4,"Employés et ouvriers"
200069821,3,"Ouvriers et jeunes enfants"
200069839,5,"Jeunes adultes, étudiants et cadres"
200069847,4,"Employés et ouvriers"
200069854,5,"Jeunes adultes, étudiants et cadres"
200069912,5,"Jeunes adultes, étudiants et cadres"
200069953,6,"Trentenaires, cadres et professions intermédiaires"
200069961,4,"Employés et ouvriers"
200069995,4,"Employés et ouvriers"
200070035,1,"Retraités"
200070043,3,"Ouvriers et jeunes enfants"
200070068,3,"Ouvriers et jeunes enfants"
200070092,2,"Profil diversifié, plutôt âgé"
200070100,4,"Employés et ouvriers"
200070118,2,"Profil diversifié, plutôt âgé"
200070126,4,"Employés et ouvriers"
200070142,5,"Jeunes adultes, étudiants et cadres"
200070159,4,"Employés et ouvriers"
200070167,3,"Ouvriers et jeunes enfants"
200070183,6,"Trentenaires, cadres et professions intermédiaires"
200070233,4,"Employés et ouvriers"
200070282,1,"Retraités"
200070290,4,"Employés et ouvriers"
200070308,5,"Jeunes adultes, étudiants et cadres"
200070316,1,"Retraités"
200070324,4,"Employés et ouvriers"
200070332,3,"Ouvriers et jeunes enfants"
200070340,6,"Trentenaires, cadres et professions intermédiaires"
200070365,2,"Profil diversifié, plutôt âgé"
200070373,1,"Retraités"
200070407,4,"Employés et ouvriers"
200070431,2,"Profil diversifié, plutôt âgé"
200070449,6,"Trentenaires, cadres et professions intermédiaires"
200070464,5,"Jeunes adultes, étudiants et cadres"
200070506,2,"Profil diversifié, plutôt âgé"
200070514,5,"Jeunes adultes, étudiants et cadres"
200070530,2,"Profil diversifié, plutôt âgé"
200070548,1,"Retraités"
200070555,2,"Profil diversifié, plutôt âgé"
200070563,5,"Jeunes adultes, étudiants et cadres"
200070571,4,"Employés et ouvriers"
200070589,2,"Profil diversifié, plutôt âgé"
200070647,1,"Retraités"
200070662,4,"Employés et ouvriers"
200070670,2,"Profil diversifié, plutôt âgé"
200070688,3,"Ouvriers et jeunes enfants"
200070712,3,"Ouvriers et jeunes enfants"
200070720,1,"Retraités"
200070738,6,"Trentenaires, cadres et professions intermédiaires"
200070746,4,"Employés et ouvriers"
200070753,6,"Trentenaires, cadres et professions intermédiaires"
200070761,1,"Retraités"
200070779,6,"Trentenaires, cadres et professions intermédiaires"
200070787,2,"Profil diversifié, plutôt âgé"
200070795,3,"Ouvriers et jeunes enfants"
200070803,4,"Employés et ouvriers"
200070811,4,"Employés et ouvriers"
200070829,1,"Retraités"
200070845,4,"Employés et ouvriers"
200070852,6,"Trentenaires, cadres et professions intermédiaires"
200070894,6,"Trentenaires, cadres et professions intermédiaires"
200070902,4,"Employés et ouvriers"
200070910,2,"Profil diversifié, plutôt âgé"
200070928,3,"Ouvriers et jeunes enfants"
200070936,3,"Ouvriers et jeunes enfants"
200070944,3,"Ouvriers et jeunes enfants"
200070951,3,"Ouvriers et jeunes enfants"
200070969,4,"Employés et ouvriers"
200070977,4,"Employés et ouvriers"
200070985,1,"Retraités"
200070993,3,"Ouvriers et jeunes enfants"
200071017,1,"Retraités"
200071025,2,"Profil diversifié, plutôt âgé"
200071033,3,"Ouvriers et jeunes enfants"
200071041,3,"Ouvriers et jeunes enfants"
200071058,2,"Profil diversifié, plutôt âgé"
200071066,3,"Ouvriers et jeunes enfants"
200071074,6,"Trentenaires, cadres et professions intermédiaires"
200071082,4,"Employés et ouvriers"
200071116,3,"Ouvriers et jeunes enfants"
200071140,4,"Employés et ouvriers"
200071157,3,"Ouvriers et jeunes enfants"
200071165,1,"Retraités"
200071173,1,"Retraités"
200071181,4,"Employés et ouvriers"
200071199,3,"Ouvriers et jeunes enfants"
200071207,6,"Trentenaires, cadres et professions intermédiaires"
200071215,2,"Profil diversifié, plutôt âgé"
200071223,4,"Employés et ouvriers"
200071298,6,"Trentenaires, cadres et professions intermédiaires"
200071314,6,"Trentenaires, cadres et professions intermédiaires"
200071363,3,"Ouvriers et jeunes enfants"
200071371,4,"Employés et ouvriers"
200071389,3,"Ouvriers et jeunes enfants"
200071405,2,"Profil diversifié, plutôt âgé"
200071413,2,"Profil diversifié, plutôt âgé"
200071454,5,"Jeunes adultes, étudiants et cadres"
200071470,3,"Ouvriers et jeunes enfants"
200071496,2,"Profil diversifié, plutôt âgé"
200071504,3,"Ouvriers et jeunes enfants"
200071512,4,"Employés et ouvriers"
200071520,3,"Ouvriers et jeunes enfants"
200071538,4,"Employés et ouvriers"
200071546,3,"Ouvriers et jeunes enfants"
200071553,6,"Trentenaires, cadres et professions intermédiaires"
200071579,3,"Ouvriers et jeunes enfants"
200071587,4,"Employés et ouvriers"
200071595,4,"Employés et ouvriers"
200071629,2,"Profil diversifié, plutôt âgé"
200071645,2,"Profil diversifié, plutôt âgé"
200071652,3,"Ouvriers et jeunes enfants"
200071678,5,"Jeunes adultes, étudiants et cadres"
200071751,5,"Jeunes adultes, étudiants et cadres"
200071769,3,"Ouvriers et jeunes enfants"
200071777,4,"Employés et ouvriers"
200071785,3,"Ouvriers et jeunes enfants"
200071819,1,"Retraités"
200071827,5,"Jeunes adultes, étudiants et cadres"
200071843,2,"Profil diversifié, plutôt âgé"
200071850,2,"Profil diversifié, plutôt âgé"
200071868,4,"Employés et ouvriers"
200071876,5,"Jeunes adultes, étudiants et cadres"
200071884,1,"Retraités"
